"DateTime"," NDVI (Landsat 5/7/8 SR) at Polygon 1, 2019-08-15 to 2021-10-18"," NDVI (Landsat 5/7/8 SR) at Polygon 2, 2019-08-15 to 2021-10-18"
"2019-08-17",0.5266
"2019-08-18",0.2534,0.4767
"2019-08-25",0.2437,0.448
"2019-08-26",0.2735,0.5134
"2019-09-02",0.2712,0.5244
"2019-09-03",0.2191,0.4692
"2019-09-10",0.2183,0.4965
"2019-09-11",0.2737,0.5274
"2019-09-18",0.2864
"2019-09-19",0.2289,0.4823
"2019-09-26",0.171,0.3107
"2019-09-27",0.2561,0.5007
"2019-10-04",0.2494,0.5512
"2019-10-05",0.1719
"2019-10-12",0.1845,0.2879
"2019-10-13",0.2327,0.5138
"2019-10-20",0.2297,0.5158
"2019-11-05",0.1729,0.4367
"2019-11-06",0.1389,0.3712
"2019-11-13",0.1086
"2019-11-14",0.2115,0.5353
"2019-11-29",0.0515,0.2131
"2019-12-07",0.1932,0.6271
"2019-12-31",0.0536,0.3886
"2020-01-08",0.1941,0.6221
"2020-01-09",0.1209,0.3574
"2020-01-24",0.1732,0.5518
"2020-01-25",0.1258,0.391
"2020-02-02",0.1535,0.7737
"2020-02-10",-0.0563
"2020-02-17",-0.009,0.3195
"2020-02-26",0.0609,0.3334
"2020-03-04",0.0774,0.2564
"2020-03-05",0.1301,0.4193
"2020-03-21",0.1024
"2020-03-28",0.112,0.1756
"2020-04-05",0.1412,0.3663
"2020-04-06",0.1782,0.4485
"2020-04-13",0.2345
"2020-04-14",0.072
"2020-04-21",0.1399,0.3784
"2020-04-29",0.192,0.4659
"2020-05-07",0.1577,0.3975
"2020-05-08",0.198,0.4404
"2020-05-16",0.1767
"2020-05-23",0.1906,0.2377
"2020-05-31",0.2583,0.4818
"2020-06-01",0.2113,0.4275
"2020-06-08",0.2317,0.4602
"2020-06-16",0.2663,0.4703
"2020-06-17",0.2244,0.4165
"2020-06-24",0.2152
"2020-07-02",0.261,0.487
"2020-07-03",0.1897,0.3385
"2020-07-10",0.2256,0.4584
"2020-07-11",0.2474,0.4848
"2020-07-19",0.1999,0.4004
"2020-07-26",0.23,0.4647
"2020-07-27",0.2589
"2020-08-03",0.2762,0.5224
"2020-08-11",0.2292,0.4144
"2020-08-12",0.5213
"2020-08-19",0.2513,0.5126
"2020-08-20",0.1746,0.4204
"2020-08-27",0.2344,0.4816
"2020-08-28",0.2561,0.4395
"2020-09-04",0.2592,0.5149
"2020-09-05",0.2186,0.4716
"2020-09-12",0.2288,0.4835
"2020-09-13",0.255,0.5163
"2020-09-20",0.2703,0.5241
"2020-09-21",0.2119,0.4499
"2020-09-28",0.2021,0.4599
"2020-09-29",0.2392,0.5173
"2020-10-06",0.227,0.5133
"2020-10-07",0.1747,0.4358
"2020-10-14",0.1847,0.4627
"2020-10-22",0.2136,0.5246
"2020-10-30",0.1417,0.3409
"2020-10-31",0.2017,0.4773
"2020-11-08",0.1792,0.498
"2020-11-15",0.1671,0.4883
"2020-11-16",0.2083,0.5617
"2020-11-23",0.2066,0.425
"2020-12-09",0.1774,0.6307
"2020-12-17",0.0469,0.1296
"2020-12-25",0.1924,0.6337
"2020-12-26",0.1175,0.4159
"2021-01-02",0.0757,0.4082
"2021-01-03",0.1614,0.6497
"2021-01-10",0.2315,0.6484
"2021-01-11",0.1029,0.3954
"2021-01-18",0.0614,0.2484
"2021-01-27",0.2694
"2021-02-03",0.1276,0.4213
"2021-02-04",0.2277
"2021-02-11",0.1757,0.4842
"2021-02-12",0.1256,0.3921
"2021-02-19",0.0588,0.3552
"2021-02-20",0.1195,0.4508
"2021-02-28",0.1001,0.2803
"2021-03-07",0.1032,0.168
"2021-03-24",0.1054
"2021-03-31",0.1507,0.4476
"2021-04-01",0.1073,0.2768
"2021-04-08",0.3064
"2021-04-09",0.1699,0.4269
"2021-04-24",0.1426,0.3983
"2021-04-25",0.1745,0.4436
"2021-05-02",0.1931,0.4752
"2021-05-19",0.1822,0.4288
"2021-05-26",0.2702
"2021-05-27",0.2309,0.4516
"2021-06-03",0.2596,0.4386
"2021-06-04",0.2313,0.4478
"2021-06-11",0.2447,0.4338
"2021-06-12",0.2624,0.4723
"2021-06-19",0.2653
"2021-06-20",0.2529,0.4722
"2021-07-05",0.3134,0.5221
"2021-07-06",0.2833,0.4819
"2021-07-13",0.2068,0.3995
"2021-07-21",0.3196,0.5244
"2021-07-22",0.3013,0.5253
"2021-07-29",0.2827,0.5037
"2021-07-30",0.3023,0.5184
"2021-08-06",0.3378,0.5093
"2021-08-07",0.1404
"2021-08-14",0.2985,0.5188
"2021-08-15",0.3258,0.5417
"2021-08-22",0.3122,0.5411
"2021-08-23",0.2654,0.4841
"2021-08-30",0.2688,0.4738
"2021-08-31",0.2952,0.5134
"2021-09-07",0.2827,0.523
"2021-09-08",0.262,0.4673
"2021-09-15",0.2714,0.5107
"2021-09-16",0.2775,0.5277
"2021-09-24",0.2501,0.4933
"2021-10-01",0.1149,0.0872
"2021-10-02",0.2799,0.6474
"2021-10-09",0.2576,0.5359
"2021-10-10",0.2245,0.4856
"2021-10-17",0.2213,0.5131
"2021-10-18",0.2409,0.4619